derult	-4	44	8	1027	0.82
derult	-4	64	8	1026	0.81
derult	-4	257	12	1025	0.89
derult	-3	59	13	1024	0.88
derult	-3	220	13	1023	0.87
felhos	-3	109	12	1011	0.86
borult	-3	89	10	1011	0.83
borult	-2	293	11	1021	0.77
borult	1	332	13	1020	0.5
felhos	2	260	17	1019	0.47
borult	2	46	12	1018	0.41
borult	3	119	15	1017	0.43
borult	4	27	14	1016	0.41
felhos	3	41	15	1015	0.55
borult	2	301	17	1015	0.68
szeles	0	23	25	1015	0.77
szeles	-1	56	25	1014	0.87
szeles	-1	127	28	1014	0.8
szeles	-1	164	30	1013	0.81
szeles	-1	49	27	1012	0.81
szeles	0	346	30	1011	0.81
szeles	0	238	29	1010	0.8
borult	1	253	17	1010	0.8
hozapor	0	311	19	1010	0.96
