Ország	Népesség	Használók	Arány	Változás	Nagyobbak
Afghanistan	33369945	2279167					Össznépesség:
Albania	2903700	1823233					Összes internethasználó:
Algeria	40375954	7937913					Világarány:
Andorra	69165	66728					1%-nál jobban nőtt:
Angola	25830958	5951453
Antigua and Barbuda	92738	60306					Legnagyobb arány:
Argentina	43847277	30359855					Legkisebb arány:
Armenia	3026048	1510906					Legnagyobb arányú ország:
Aruba	104263	91532					Legkisebb arányú ország:
Australia	24309330	20679490
Austria	8569633	6953400
Azerbaijan	9868447	6027647
Bahamas	392718	333143
Bahrain	1396829	1278752
Bangladesh	162910864	21439070
Barbados	285006	228717
Belarus	9481521	5786572
Belgium	11371928	10060745
Belize	366942	165014
Benin	11166658	628683
Bermuda	61662	60047
Bhutan	784103	289177
Bolivia	10888402	4478400
Bosnia and Herzegovina	3802134	2343255
Botswana	2303820	492787
Brazil	209567920	139111185
Brunei	428874	310205
Bulgaria	7097796	4155050
Burkina Faso	18633725	1894498
Burundi	11552561	167512
Cabo Verde	526993	224183
Cambodia	15827241	1756824
Cameroon	23924407	4311178
Canada	36286378	32120519
Cayman Islands	60764	45038
Central African Republic	4998493	224432
Chad	14496739	387063
Chile	18131850	14108392
China	1382323332	721434547
Colombia	48654392	27664747
Comoros	807118	59242
Congo	4740992	357471
Costa Rica	4857218	2738500
Côte d'Ivoire	23254184	5122897
Croatia	4225001	3133485
Cuba	11392889	3696765
Cyprus	1176598	844680
Czech Republic	10548058	9323428
Denmark	5690750	5479054
Djibouti	899598	105163
Dominica	73016	48249
Dominican Republic	10648613	5513852
DR Congo	79722624	3101210
Ecuador	16385450	7055575
Egypt	93383574	30835256
El Salvador	6146419	2352849
Equatorial Guinea	869587	181657
Eritrea	5351680	56728
Estonia	1309104	1196521
Ethiopia	101853268	4288023
Faeroe Islands	48239	47515
Fiji	897537	419958
Finland	5523904	5107402
France	64668129	55860330
French Polynesia	285735	182442
Gabon	1763142	182309
Gambia	2054986	346471
Georgia	3979781	2104906
Germany	80682351	71016605
Ghana	28033375	7958675
Greece	10919459	7072534
Greenland	56196	37899
Grenada	107327	41675
Guam	172094	124717
Guatemala	16672956	4409997
Guinea	12947122	236932
Guinea-Bissau	1888429	66284
Guyana	770610	305007
Haiti	10848175	1308290
Honduras	8189501	1757467
Hong Kong	7346248	5442101
Hungary	9821318	7874733
Iceland	331778	331778
India	1326801576	462124989
Indonesia	260581100	53236719
Iran	80043146	39149103
Iraq	37547686	4892463
Ireland	4713993	3817392
Israel	8192463	5941174
Italy	59801004	39211518
Jamaica	2803362	1216098
Japan	126323715	115111595
Jordan	7747800	3536871
Kazakhstan	17855384	9961519
Kenya	47251449	21248977
Kiribati	114405	14724
Kuwait	4007146	3202110
Kyrgyzstan	6033769	2076220
Laos	6918367	1087567
Latvia	1955742	1491951
Lebanon	5988153	4545007
Lesotho	2160309	444376
Liberia	4615222	395063
Libya	6330159	1335705
Liechtenstein	37776	36183
Lithuania	2850030	2199938
Luxembourg	576243	548807
Macao	597126	433752
Madagascar	24915822	1066397
Malawi	17749826	1160839
Malaysia	30751602	21090777
Maldives	369812	198071
Mali	18134835	2212450
Malta	419615	334056
Marshall Islands	53069	10709
Mauritania	4166463	714132
Mauritius	1277459	543048
Mexico	128632004	58016997
Micronesia	104966	32749
Moldova	4062862	1946111
Monaco	37863	35196
Mongolia	3006444	1069693
Montenegro	626101	388057
Morocco	34817065	20068556
Mozambique	28751362	1834337
Myanmar	54363426	1353649
Namibia	2513981	392181
Nepal	28850717	4962323
Netherlands	16979729	15915076
New Caledonia	266431	186502
New Zealand	4565185	4078993
Nicaragua	6150035	1194337
Niger	20715285	439164
Nigeria	186987563	86219965
Norway	5271958	5167573
Oman	4654471	3310260
Pakistan	192826502	34342400
Panama	3990406	1803261
Papua New Guinea	7776115	906695
Paraguay	6725430	3149519
Peru	31774225	13036965
Philippines	102250133	44478808
Poland	38593161	27922152
Portugal	10304434	6930762
Puerto Rico	3680772	3047311
Qatar	2291368	2108970
Romania	19372734	11236186
Russia	143439832	102258256
Rwanda	11882766	1478216
Saint Kitts and Nevis	56183	37210
Saint Lucia	186383	109370
Samoa	194523	56373
Sao Tome and Principe	194390	49686
Saudi Arabia	32157974	20813695
Senegal	15589485	3647939
Serbia	8812705	4758861
Seychelles	97026	56168
Sierra Leone	6592102	160188
Singapore	5696506	4699204
Slovakia	5429418	4477641
Slovenia	2069362	1490358
Solomon Islands	594934	58423
Somalia	11079013	192775
South Africa	54978907	28580290
South Korea	50503933	43274132
South Sudan	12733427	2179963
Spain	46064604	37865104
Sri Lanka	20810816	6087164
St. Vincent & Grenadines	109644	65984
State of Palestine	4797239	3007869
Sudan	41175541	10886813
Suriname	547610	231420
Swaziland	1304063	362921
Sweden	9851852	9169705
Switzerland	8379477	7302714
Syria	18563595	5502250
Tajikistan	8669464	1622924
Tanzania	55155473	2895662
TFYR Macedonia	2081012	1439089
Thailand	68146609	29078158
Timor-Leste	1211245	14030
Togo	7496833	545020
Tonga	106915	49822
Trinidad and Tobago	1364973	942713
Tunisia	11375220	5472618
Turkey	79622062	46196720
Turkmenistan	5438670	789151
U.K.	65111143	60273385
U.S.	324118787	286942362
Uganda	40322768	7645197
Ukraine	44624373	19678089
United Arab Emirates	9266971	8515420
United States Virgin Islands	106415	57485
Uruguay	3444071	2238991
Uzbekistan	30300446	15453227
Vanuatu	270470	82764
Venezuela	31518855	18254349
Viet Nam	94444200	49063762
Yemen	27477600	6773228
Zambia	16717332	3167934
Zimbabwe	15966810	3356223
